gene	chro	start	end	strand	gene_type	gene_id
MIR564	chr3	44861888	44861981	+	miRNA	ENSG00000284498
TMEM42	chr3	44861904	44865670	+	protein_coding	ENSG00000169964
TGM4	chr3	44874608	44914990	+	protein_coding	ENSG00000163810
ENSG00000235845	chr3	44899178	44900925	+	lncRNA	ENSG00000235845
ZDHHC3	chr3	44976185	44915257	-	protein_coding	ENSG00000163812
RPL12P44	chr3	44937673	44938482	+	processed_pseudogene	ENSG00000227123
EXOSC7	chr3	44975241	45036066	+	protein_coding	ENSG00000075914
CLEC3B	chr3	45001548	45036071	+	protein_coding	ENSG00000163815
RNU5B-3P	chr3	45034588	45034474	-	snRNA	ENSG00000252410
ENSG00000303828	chr3	45068265	45089369	+	lncRNA	ENSG00000303828
CDCP1	chr3	45146422	45082277	-	protein_coding	ENSG00000163814
RPS24P8	chr3	45160175	45159774	-	processed_pseudogene	ENSG00000224094
ENSG00000306467	chr3	45167275	45168233	+	lncRNA	ENSG00000306467
ENSG00000306223	chr3	45181375	45255960	+	lncRNA	ENSG00000306223
TMEM158	chr3	45226287	45224466	-	protein_coding	ENSG00000249992
U3	chr3	45255620	45255409	-	snoRNA	ENSG00000202268
ENSG00000298579	chr3	45312242	45329646	+	lncRNA	ENSG00000298579
LARS2	chr3	45388561	45554726	+	protein_coding	ENSG00000011376
LARS2-AS1	chr3	45509545	45483974	-	lncRNA	ENSG00000232455
LIMD1	chr3	45555394	45686341	+	protein_coding	ENSG00000144791
LIMD1-AS1	chr3	45689209	45676369	-	lncRNA	ENSG00000230530
SACM1L	chr3	45689056	45745412	+	protein_coding	ENSG00000211456
RN7SL145P	chr3	45742675	45742970	+	misc_RNA	ENSG00000244357
ENSG00000279017	chr3	45749627	45750651	+	TEC	ENSG00000279017
SLC6A20	chr3	45796574	45755449	-	protein_coding	ENSG00000163817
ENSG00000307655	chr3	45785822	45804937	+	lncRNA	ENSG00000307655
ENSG00000288720	chr3	45795970	45863928	+	lncRNA	ENSG00000288720
LZTFL1	chr3	45916042	45823316	-	protein_coding	ENSG00000163818
ENSG00000285788	chr3	45842265	45866571	+	lncRNA	ENSG00000285788
SDHDP4	chr3	45884113	45883640	-	processed_pseudogene	ENSG00000236930
CCR9	chr3	45884425	45903174	+	protein_coding	ENSG00000173585
Y_RNA	chr3	45903187	45903298	+	misc_RNA	ENSG00000201635
ENSG00000307676	chr3	45907663	45916683	+	lncRNA	ENSG00000307676
FYCO1	chr3	45995824	45917903	-	protein_coding	ENSG00000163820
CXCR6	chr3	45940933	45948351	+	protein_coding	ENSG00000172215
ENSG00000288717	chr3	45995810	46001283	+	lncRNA	ENSG00000288717
XCR1	chr3	46085825	46016990	-	protein_coding	ENSG00000173578
NRBF2P2	chr3	46023296	46024156	+	processed_pseudogene	ENSG00000226933
ENSG00000288703	chr3	46065695	46104017	+	lncRNA	ENSG00000288703
ENSG00000307560	chr3	46089559	46090134	+	lncRNA	ENSG00000307560
ENSG00000304968	chr3	46100983	46100199	-	lncRNA	ENSG00000304968
ENSG00000294468	chr3	46111175	46109990	-	lncRNA	ENSG00000294468
CCR3	chr3	46130890	46266706	+	protein_coding	ENSG00000183625
FLT1P1	chr3	46143677	46142358	-	processed_pseudogene	ENSG00000229515
CCR1	chr3	46208313	46201711	-	protein_coding	ENSG00000163823
ENSG00000288724	chr3	46293805	46284775	-	lncRNA	ENSG00000288724
ENSG00000296106	chr3	46293963	46288121	-	lncRNA	ENSG00000296106
UQCRC2P1	chr3	46311922	46310591	-	processed_pseudogene	ENSG00000236736
CCR2	chr3	46353864	46360940	+	protein_coding	ENSG00000121807
CCR5AS	chr3	46407184	46363984	-	lncRNA	ENSG00000223552
CCR5	chr3	46370946	46376206	+	protein_coding	ENSG00000160791
ENSG00000296730	chr3	46395686	46396475	+	lncRNA	ENSG00000296730
CCRL2	chr3	46407166	46412997	+	protein_coding	ENSG00000121797
LINC02009	chr3	46423591	46416524	-	lncRNA	ENSG00000283646
ENSG00000296625	chr3	46426804	46434323	+	lncRNA	ENSG00000296625
LTF	chr3	46485234	46435645	-	protein_coding	ENSG00000012223
RTP3	chr3	46494611	46500950	+	protein_coding	ENSG00000163825
LRRC2	chr3	46606948	46515385	-	protein_coding	ENSG00000163827
LRRC2-AS1	chr3	46546091	46559694	+	lncRNA	ENSG00000268324
ENSG00000288718	chr3	46558540	46562495	+	lncRNA	ENSG00000288718
CRIPTO	chr3	46574534	46582457	+	protein_coding	ENSG00000241186
ENSG00000283877	chr3	46581150	46617226	+	protein_coding	ENSG00000283877
FAM240A	chr3	46612525	46626543	+	protein_coding	ENSG00000283473
ENSG00000286570	chr3	46661507	46647171	-	lncRNA	ENSG00000286570
ENSG00000251967	chr3	46650510	46650590	+	snoRNA	ENSG00000251967
ALS2CL	chr3	46693704	46668995	-	protein_coding	ENSG00000178038
TMIE	chr3	46694528	46710886	+	protein_coding	ENSG00000181585
ENSG00000206549	chr3	46812574	46712115	-	protein_coding	ENSG00000206549
PRSS50	chr3	46717869	46712117	-	protein_coding	ENSG00000283706
PRSS46P	chr3	46736429	46719583	-	lncRNA	ENSG00000293416
PRSS46P	chr3	46736388	46719749	-	transcribed_unitary_pseudogene	ENSG00000261603
ENSG00000284672	chr3	46812558	46742092	-	lncRNA	ENSG00000284672
PRSS45P	chr3	46750891	46742350	-	transcribed_unitary_pseudogene	ENSG00000188086
ENSG00000293417	chr3	46756857	46753045	-	lncRNA	ENSG00000293417
PRSS43P	chr3	46756816	46753691	-	transcribed_unitary_pseudogene	ENSG00000286651
ENSG00000238013	chr3	46798123	46798390	+	processed_pseudogene	ENSG00000238013
PRSS44P	chr3	46812486	46809359	-	transcribed_unitary_pseudogene	ENSG00000226074
ENSG00000293418	chr3	46811341	46809498	-	lncRNA	ENSG00000293418
ENSG00000297904	chr3	46812098	46812906	+	lncRNA	ENSG00000297904
PRSS42P	chr3	46845929	46829542	-	lncRNA	ENSG00000293419
PRSS42P	chr3	46834095	46830404	-	transcribed_unitary_pseudogene	ENSG00000178055
MYL3	chr3	46882178	46835110	-	protein_coding	ENSG00000160808
PTH1R	chr3	46877721	46903799	+	protein_coding	ENSG00000160801
ENSG00000308167	chr3	46898857	46887261	-	lncRNA	ENSG00000308167
CCDC12	chr3	46982010	46916634	-	protein_coding	ENSG00000160799
BLVRBP1	chr3	46918935	46918807	-	processed_pseudogene	ENSG00000273682
ENSG00000294040	chr3	46946619	46952420	+	lncRNA	ENSG00000294040
NBEAL2	chr3	46979666	47009704	+	protein_coding	ENSG00000160796
ENSG00000293420	chr3	47009752	47013469	+	lncRNA	ENSG00000293420
NRADDP	chr3	47011542	47013146	+	transcribed_unitary_pseudogene	ENSG00000236409
SETD2	chr3	47164113	47016428	-	protein_coding	ENSG00000181555
MRPL57P3	chr3	47028855	47029030	+	processed_pseudogene	ENSG00000275940
ENSG00000296084	chr3	47118074	47124603	+	lncRNA	ENSG00000296084
KIF9-AS1	chr3	47164024	47246601	+	lncRNA	ENSG00000227398
KIF9	chr3	47283451	47227998	-	protein_coding	ENSG00000088727
SNORD13P3	chr3	47250626	47250523	-	snoRNA	ENSG00000239128
KLHL18	chr3	47282917	47346816	+	protein_coding	ENSG00000114648
ENSG00000280173	chr3	47346950	47349073	+	TEC	ENSG00000280173
ENSG00000289507	chr3	47349783	47351101	+	lncRNA	ENSG00000289507
PTPN23-DT	chr3	47381620	47379079	-	lncRNA	ENSG00000260236
PTPN23	chr3	47381011	47413435	+	protein_coding	ENSG00000076201
SCAP	chr3	47477126	47413681	-	protein_coding	ENSG00000114650
SPMIP3P1	chr3	47469777	47469987	+	processed_pseudogene	ENSG00000276925
ENSG00000301360	chr3	47476057	47482470	+	lncRNA	ENSG00000301360
ELP6	chr3	47513712	47495640	-	protein_coding	ENSG00000163832
BOLA2P2	chr3	47499841	47500090	+	transcribed_processed_pseudogene	ENSG00000271161
ENSG00000293229	chr3	47499841	47500407	+	lncRNA	ENSG00000293229
ENSG00000308982	chr3	47536550	47533952	-	lncRNA	ENSG00000308982
ENSG00000304508	chr3	47542374	47541887	-	lncRNA	ENSG00000304508
RN7SL870P	chr3	47560524	47560229	-	misc_RNA	ENSG00000244732
CSPG5	chr3	47580792	47562238	-	protein_coding	ENSG00000114646
SMARCC1	chr3	47782106	47585269	-	protein_coding	ENSG00000173473
ENSG00000214773	chr3	47604677	47601715	-	lncRNA	ENSG00000214773
HIGD2AP2	chr3	47663626	47663934	+	processed_pseudogene	ENSG00000235695
ENSG00000300560	chr3	47782057	47785373	+	lncRNA	ENSG00000300560
DHX30	chr3	47802909	47850195	+	protein_coding	ENSG00000132153
ENSG00000274420	chr3	47818005	47818128	+	misc_RNA	ENSG00000274420
MIR1226	chr3	47849555	47849629	+	miRNA	ENSG00000221585
MAP4	chr3	48089272	47850690	-	protein_coding	ENSG00000047849
ENSG00000301861	chr3	47891183	47904302	+	lncRNA	ENSG00000301861
Y_RNA	chr3	47931914	47931808	-	misc_RNA	ENSG00000199591
VPS26BP1	chr3	47961081	47960327	-	processed_pseudogene	ENSG00000224895
RPS27P30	chr3	48039267	48039490	+	processed_pseudogene	ENSG00000270285
ENSG00000302863	chr3	48089360	48170668	+	lncRNA	ENSG00000302863
RN7SL664P	chr3	48095105	48094801	-	misc_RNA	ENSG00000265078
RPL17P16	chr3	48121215	48120669	-	processed_pseudogene	ENSG00000236768
ENSG00000302881	chr3	48130892	48136572	+	lncRNA	ENSG00000302881
CDC25A	chr3	48188417	48157146	-	protein_coding	ENSG00000164045
SNRPFP4	chr3	48161176	48161417	+	processed_pseudogene	ENSG00000235627
RNU7-128P	chr3	48180328	48180389	+	snRNA	ENSG00000253056
NDUFB1P1	chr3	48181547	48181726	+	processed_pseudogene	ENSG00000231884
MIR4443	chr3	48196564	48196616	+	miRNA	ENSG00000265483
ENSG00000304464	chr3	48220913	48219526	-	lncRNA	ENSG00000304464
CAMP	chr3	48223347	48225491	+	protein_coding	ENSG00000164047
ZNF589	chr3	48241100	48299253	+	protein_coding	ENSG00000164048
MRPS18AP1	chr3	48256938	48256350	-	processed_pseudogene	ENSG00000229759
Y_RNA	chr3	48288587	48288694	+	misc_RNA	ENSG00000199476
NME6	chr3	48301685	48290722	-	protein_coding	ENSG00000172113
FCF1P2	chr3	48291375	48290793	-	transcribed_processed_pseudogene	ENSG00000228638
ENSG00000289043	chr3	48301415	48304153	+	lncRNA	ENSG00000289043
SPINK8	chr3	48333661	48306842	-	protein_coding	ENSG00000229453
MIR2115	chr3	48316459	48316360	-	miRNA	ENSG00000252466
ENSG00000295127	chr3	48370453	48349379	-	lncRNA	ENSG00000295127
FBXW12	chr3	48372219	48401259	+	protein_coding	ENSG00000164049
RN7SL321P	chr3	48379834	48380132	+	misc_RNA	ENSG00000277483
PLXNB1	chr3	48430086	48403854	-	protein_coding	ENSG00000164050
CCDC51	chr3	48440456	48432164	-	protein_coding	ENSG00000164051
TMA7	chr3	48440257	48444208	+	protein_coding	ENSG00000232112
ENSG00000244380	chr3	48446680	48440352	-	lncRNA	ENSG00000244380
ATRIP	chr3	48446710	48467645	+	protein_coding	ENSG00000164053
TREX1	chr3	48465811	48467645	+	protein_coding	ENSG00000213689
SHISA5	chr3	48504826	48467798	-	protein_coding	ENSG00000164054
PFKFB4	chr3	48562015	48517684	-	protein_coding	ENSG00000114268
MIR6823	chr3	48550021	48549961	-	miRNA	ENSG00000278799
UCN2	chr3	48563781	48561718	-	protein_coding	ENSG00000145040
COL7A1	chr3	48595329	48564073	-	protein_coding	ENSG00000114270
MIR711	chr3	48578977	48578902	-	miRNA	ENSG00000284251
UQCRC1	chr3	48610976	48599002	-	protein_coding	ENSG00000010256
ENSG00000300190	chr3	48609751	48628980	+	lncRNA	ENSG00000300190
TMEM89	chr3	48621769	48620759	-	protein_coding	ENSG00000183396
SLC26A6	chr3	48635493	48625723	-	protein_coding	ENSG00000225697
MIR6824	chr3	48633698	48633636	-	miRNA	ENSG00000284364
ENSG00000309074	chr3	48635630	48636203	+	lncRNA	ENSG00000309074
CELSR3	chr3	48662886	48636463	-	protein_coding	ENSG00000008300
MIR4793	chr3	48644280	48644194	-	miRNA	ENSG00000284575
LINC02585	chr3	48662983	48672733	+	lncRNA	ENSG00000228350
NCKIPSD	chr3	48686364	48673844	-	protein_coding	ENSG00000213672
IP6K2	chr3	48740353	48688003	-	protein_coding	ENSG00000068745
PRKAR2A	chr3	48847874	48744597	-	protein_coding	ENSG00000114302
PRKAR2A-AS1	chr3	48847572	48897568	+	lncRNA	ENSG00000224424
SLC25A20	chr3	48898904	48856926	-	protein_coding	ENSG00000178537
ARIH2OS	chr3	48918829	48917765	-	lncRNA	ENSG00000221883
ARIH2	chr3	48918821	48986382	+	protein_coding	ENSG00000177479
ENSG00000235236	chr3	48990984	48979896	-	lncRNA	ENSG00000235236
ENSG00000223343	chr3	48990162	48985049	-	lncRNA	ENSG00000223343
P4HTM	chr3	48989889	49007153	+	protein_coding	ENSG00000178467
ENSG00000285416	chr3	48999442	48997221	-	unitary_pseudogene	ENSG00000285416
WDR6	chr3	49007062	49015953	+	protein_coding	ENSG00000178252
DALRD3	chr3	49022293	49015488	-	protein_coding	ENSG00000178149
MIR425	chr3	49020234	49020148	-	miRNA	ENSG00000199032
NDUFAF3	chr3	49020459	49023495	+	protein_coding	ENSG00000178057
MIR191	chr3	49020709	49020618	-	miRNA	ENSG00000207605
IMPDH2	chr3	49029447	49024325	-	protein_coding	ENSG00000178035
ENSG00000290315	chr3	49094071	49024345	-	protein_coding	ENSG00000290315
ENSG00000272434	chr3	49029316	49030379	+	lncRNA	ENSG00000272434
QRICH1	chr3	49094363	49029707	-	protein_coding	ENSG00000198218
RN7SL182P	chr3	49083233	49083532	+	misc_RNA	ENSG00000241461
QARS1	chr3	49105130	49095932	-	protein_coding	ENSG00000172053
MIR6890	chr3	49099914	49099854	-	miRNA	ENSG00000284488
USP19	chr3	49120938	49108046	-	protein_coding	ENSG00000172046
LAMB2	chr3	49133118	49121114	-	protein_coding	ENSG00000172037
ENSG00000300884	chr3	49133153	49148438	+	lncRNA	ENSG00000300884
LAMB2P1	chr3	49160851	49140086	-	unprocessed_pseudogene	ENSG00000270441
CCDC71	chr3	49166331	49162535	-	protein_coding	ENSG00000177352
KLHDC8B	chr3	49171598	49176486	+	protein_coding	ENSG00000185909
C3orf84	chr3	49191858	49177634	-	protein_coding	ENSG00000236980
ENSG00000302980	chr3	49182252	49181589	-	lncRNA	ENSG00000302980
IHO1	chr3	49198428	49258106	+	protein_coding	ENSG00000173421
GCSHP6	chr3	49252264	49252129	-	processed_pseudogene	ENSG00000270538
ENSG00000225399	chr3	49260085	49261316	+	lncRNA	ENSG00000225399
C3orf62	chr3	49277232	49268596	-	protein_coding	ENSG00000188315
Y_RNA	chr3	49270132	49270239	+	misc_RNA	ENSG00000199546
MIR4271	chr3	49274120	49274186	+	miRNA	ENSG00000264633
USP4	chr3	49340712	49277144	-	protein_coding	ENSG00000114316
GPX1	chr3	49358605	49357174	-	protein_coding	ENSG00000233276
ENSG00000290318	chr3	49412051	49357176	-	protein_coding	ENSG00000290318
RHOA	chr3	49412998	49359139	-	protein_coding	ENSG00000067560
RHOA-IT1	chr3	49367006	49365145	-	lncRNA	ENSG00000235908
TCTA	chr3	49412212	49416476	+	protein_coding	ENSG00000145022
ENSG00000283189	chr3	49429314	49416777	-	protein_coding	ENSG00000283189
AMT	chr3	49422685	49416778	-	protein_coding	ENSG00000145020
NICN1	chr3	49429326	49422333	-	protein_coding	ENSG00000145029
RNA5SP130	chr3	49467228	49467115	-	rRNA_pseudogene	ENSG00000201301
DAG1	chr3	49468713	49535618	+	protein_coding	ENSG00000173402
BSN-DT	chr3	49554374	49534453	-	lncRNA	ENSG00000226913
ENSG00000306296	chr3	49553620	49554085	+	lncRNA	ENSG00000306296
BSN	chr3	49554477	49671549	+	protein_coding	ENSG00000164061
BSN-AS1	chr3	49641769	49640483	-	lncRNA	ENSG00000235120
APEH	chr3	49674014	49683971	+	protein_coding	ENSG00000164062
MST1	chr3	49689501	49683947	-	protein_coding	ENSG00000173531
ENSG00000259970	chr3	49684983	49684480	-	lncRNA	ENSG00000259970
ENSG00000296153	chr3	49688826	49689253	+	lncRNA	ENSG00000296153
RNF123	chr3	49689538	49721529	+	protein_coding	ENSG00000164068
AMIGO3	chr3	49719684	49716829	-	protein_coding	ENSG00000176020
GMPPB	chr3	49723973	49716844	-	protein_coding	ENSG00000173540
IP6K1	chr3	49786542	49724294	-	protein_coding	ENSG00000176095
COX6CP14	chr3	49758483	49758656	+	processed_pseudogene	ENSG00000239576
PHF5AP3	chr3	49775285	49775614	+	processed_pseudogene	ENSG00000244730
CDHR4	chr3	49799873	49790732	-	protein_coding	ENSG00000187492
INKA1	chr3	49803261	49805030	+	protein_coding	ENSG00000185614
UBA7	chr3	49813953	49805209	-	protein_coding	ENSG00000182179
MIR5193	chr3	49806245	49806137	-	miRNA	ENSG00000283726
TRAIP	chr3	49856574	49828601	-	protein_coding	ENSG00000183763
CAMKV	chr3	49869935	49857988	-	protein_coding	ENSG00000164076
RN7SL217P	chr3	49863660	49863375	-	misc_RNA	ENSG00000264706
ENSG00000295244	chr3	49873097	49889628	+	lncRNA	ENSG00000295244
ACTL11P	chr3	49877305	49873347	-	unitary_pseudogene	ENSG00000234667
MST1R	chr3	49903873	49886902	-	protein_coding	ENSG00000164078
ENSG00000230698	chr3	49899219	49925046	+	lncRNA	ENSG00000230698
MON1A	chr3	49930173	49907160	-	protein_coding	ENSG00000164077
RBM6	chr3	49940007	50100045	+	protein_coding	ENSG00000004534
RBM5	chr3	50088919	50119021	+	protein_coding	ENSG00000003756
RBM5-AS1	chr3	50100988	50099603	-	lncRNA	ENSG00000281691
SEMA3F-AS1	chr3	50156085	50116022	-	lncRNA	ENSG00000235016
SEMA3F	chr3	50155045	50189075	+	protein_coding	ENSG00000001617
ENSG00000207922	chr3	50173326	50173419	+	miRNA	ENSG00000207922
GNAT1	chr3	50191610	50197696	+	protein_coding	ENSG00000114349
SLC38A3	chr3	50205246	50221486	+	protein_coding	ENSG00000188338
GNAI2	chr3	50226292	50259362	+	protein_coding	ENSG00000114353
MIR5787	chr3	50227436	50227490	+	miRNA	ENSG00000275334
ENSG00000213600	chr3	50239618	50239984	+	lncRNA	ENSG00000213600
ENSG00000302205	chr3	50260155	50259284	-	lncRNA	ENSG00000302205
ENSG00000230454	chr3	50260249	50263358	+	lncRNA	ENSG00000230454
SEMA3B-AS1	chr3	50276052	50265974	-	lncRNA	ENSG00000232352
SEMA3B	chr3	50267558	50277546	+	protein_coding	ENSG00000012171
MIR6872	chr3	50273236	50273297	+	miRNA	ENSG00000283848
LSMEM2	chr3	50279087	50288114	+	protein_coding	ENSG00000179564
IFRD2	chr3	50292918	50287732	-	protein_coding	ENSG00000214706
HYAL3	chr3	50299405	50292831	-	protein_coding	ENSG00000186792
NAA80	chr3	50299416	50296402	-	protein_coding	ENSG00000243477
ENSG00000295204	chr3	50298969	50299919	+	lncRNA	ENSG00000295204
HYAL1	chr3	50312381	50299890	-	protein_coding	ENSG00000114378
HYAL2	chr3	50322782	50317790	-	protein_coding	ENSG00000068001
TUSC2	chr3	50328251	50320027	-	protein_coding	ENSG00000114383
RASSF1	chr3	50340980	50329782	-	protein_coding	ENSG00000068028
RASSF1-AS1	chr3	50337425	50338300	+	lncRNA	ENSG00000281358
ZMYND10-AS1	chr3	50341106	50345697	+	lncRNA	ENSG00000235058
ZMYND10	chr3	50345732	50341110	-	protein_coding	ENSG00000004838
NPRL2	chr3	50350826	50347330	-	protein_coding	ENSG00000114388
CYB561D2	chr3	50350845	50358460	+	protein_coding	ENSG00000114395
ENSG00000272104	chr3	50350892	50367923	+	protein_coding	ENSG00000272104
TMEM115	chr3	50359521	50354750	-	protein_coding	ENSG00000126062
CACNA2D2	chr3	50504244	50362613	-	protein_coding	ENSG00000007402
ENSG00000271858	chr3	50365334	50368197	+	lncRNA	ENSG00000271858
ENSG00000303671	chr3	50370876	50377166	+	lncRNA	ENSG00000303671
RNA5SP131	chr3	50419781	50419899	+	rRNA_pseudogene	ENSG00000202322
ENSG00000307431	chr3	50454136	50455582	+	lncRNA	ENSG00000307431
ENSG00000307085	chr3	50530736	50518049	-	lncRNA	ENSG00000307085
ENSG00000302250	chr3	50551699	50556453	+	lncRNA	ENSG00000302250
C3orf18	chr3	50571027	50558025	-	protein_coding	ENSG00000088543
HEMK1	chr3	50569152	50596168	+	protein_coding	ENSG00000114735
ENSG00000280382	chr3	50601197	50582530	-	lncRNA	ENSG00000280382
CISH	chr3	50611774	50606489	-	protein_coding	ENSG00000114737
MAPKAPK3	chr3	50611520	50649291	+	protein_coding	ENSG00000114738
ENSG00000289504	chr3	50651279	50653813	+	lncRNA	ENSG00000289504
LINC02019	chr3	50669989	50672048	+	lncRNA	ENSG00000273356
DOCK3	chr3	50674927	51384198	+	protein_coding	ENSG00000088538
MIR4787	chr3	50675080	50675163	+	miRNA	ENSG00000272543
PPIAP69	chr3	50685791	50685551	-	processed_pseudogene	ENSG00000228337
ENSG00000213587	chr3	50719951	50719482	-	processed_pseudogene	ENSG00000213587
ZNF652P1	chr3	50788285	50786674	-	processed_pseudogene	ENSG00000235278
ST13P14	chr3	50877657	50876712	-	processed_pseudogene	ENSG00000240959
ENSG00000288988	chr3	51385178	51380579	-	lncRNA	ENSG00000288988
MANF	chr3	51385291	51389397	+	protein_coding	ENSG00000145050
RBM15B	chr3	51391285	51397908	+	protein_coding	ENSG00000259956
DCAF1	chr3	51500015	51395867	-	protein_coding	ENSG00000145041
ENSG00000304159	chr3	51505611	51500509	-	lncRNA	ENSG00000304159
ENSG00000298821	chr3	51538622	51514075	-	lncRNA	ENSG00000298821
ENSG00000298844	chr3	51535914	51536669	+	lncRNA	ENSG00000298844
RAD54L2	chr3	51538719	51668667	+	protein_coding	ENSG00000164080
ENSG00000307241	chr3	51539664	51541057	+	lncRNA	ENSG00000307241
RNU6ATAC29P	chr3	51611562	51611438	-	snRNA	ENSG00000221015
TEX264	chr3	51662693	51704323	+	protein_coding	ENSG00000164081
ENSG00000288063	chr3	51671176	51668592	-	lncRNA	ENSG00000288063
RNA5SP132	chr3	51694582	51694465	-	rRNA_pseudogene	ENSG00000201595
ENSG00000298202	chr3	51707597	51696818	-	lncRNA	ENSG00000298202
GRM2	chr3	51707068	51718613	+	protein_coding	ENSG00000164082
IQCF6	chr3	51779241	51778561	-	protein_coding	ENSG00000214686
ENSG00000285749	chr3	51798803	51830856	+	protein_coding	ENSG00000285749
ENSG00000301856	chr3	51817543	51815122	-	lncRNA	ENSG00000301856
IQCF4P	chr3	51817603	51819635	+	lncRNA	ENSG00000293437
IQCF4P	chr3	51817970	51819622	+	transcribed_unitary_pseudogene	ENSG00000224792
IQCF3	chr3	51826883	51833389	+	protein_coding	ENSG00000229972
IQCF2	chr3	51861615	51863424	+	protein_coding	ENSG00000184345
RN7SL504P	chr3	51872178	51872464	+	misc_RNA	ENSG00000241789
IQCF5-AS1	chr3	51873596	51875767	+	lncRNA	ENSG00000235455
IQCF5	chr3	51875601	51873721	-	protein_coding	ENSG00000214681
IQCF1	chr3	51903353	51894876	-	protein_coding	ENSG00000173389
ENSG00000287707	chr3	51932483	51927071	-	lncRNA	ENSG00000287707
RRP9	chr3	51941904	51933429	-	protein_coding	ENSG00000114767
PARP3	chr3	51942345	51948867	+	protein_coding	ENSG00000041880
ENSG00000280422	chr3	51953902	51951849	-	TEC	ENSG00000280422
GPR62	chr3	51955381	51957499	+	protein_coding	ENSG00000180929
PCBP4	chr3	51974016	51957454	-	protein_coding	ENSG00000090097
ENSG00000272762	chr3	51974031	51961212	-	lncRNA	ENSG00000272762
ABHD14B	chr3	51983409	51968510	-	protein_coding	ENSG00000114779
ABHD14A	chr3	51971426	51981196	+	protein_coding	ENSG00000248487
ABHD14A-ACY1	chr3	51974706	51989183	+	protein_coding	ENSG00000114786
ACY1	chr3	51983340	51989197	+	protein_coding	ENSG00000243989
RPL29	chr3	51995895	51993522	-	protein_coding	ENSG00000162244
ENSG00000302870	chr3	52005877	52012669	+	lncRNA	ENSG00000302870
ENSG00000285685	chr3	52046763	52048657	+	lncRNA	ENSG00000285685
DUSP7	chr3	52056571	52048919	-	protein_coding	ENSG00000164086
ENSG00000295702	chr3	52074523	52072440	-	lncRNA	ENSG00000295702
POC1A	chr3	52154690	52075226	-	protein_coding	ENSG00000164087
ENSG00000305425	chr3	52155175	52165379	+	lncRNA	ENSG00000305425
ENSG00000310245	chr3	52177722	52183875	+	lncRNA	ENSG00000310245
ENSG00000286419	chr3	52189179	52183715	-	lncRNA	ENSG00000286419
ALDOAP1	chr3	52193170	52194785	+	processed_pseudogene	ENSG00000242849
ALAS1	chr3	52198086	52214327	+	protein_coding	ENSG00000023330
ENSG00000296921	chr3	52219436	52211058	-	lncRNA	ENSG00000296921
ENSG00000280003	chr3	52219012	52217016	-	TEC	ENSG00000280003
TLR9	chr3	52225645	52221080	-	protein_coding	ENSG00000239732
ENSG00000173366	chr3	52231190	52221081	-	protein_coding	ENSG00000173366
TWF2	chr3	52246788	52228612	-	protein_coding	ENSG00000247596
TWF2-DT	chr3	52239203	52245361	+	lncRNA	ENSG00000243224
ENSG00000306261	chr3	52254129	52241246	-	lncRNA	ENSG00000306261
PPM1M	chr3	52245759	52250599	+	protein_coding	ENSG00000164088
ENSG00000306295	chr3	52253607	52254010	+	lncRNA	ENSG00000306295
WDR82	chr3	52288020	52254434	-	protein_coding	ENSG00000164091
MIRLET7G	chr3	52268361	52268278	-	miRNA	ENSG00000199150
ENSG00000294698	chr3	52277800	52278007	+	lncRNA	ENSG00000294698
ENSG00000306456	chr3	52278728	52280493	+	lncRNA	ENSG00000306456
GLYCTK	chr3	52287089	52295257	+	protein_coding	ENSG00000168237
GLYCTK-AS1	chr3	52299221	52287103	-	lncRNA	ENSG00000242797
MIR135A1	chr3	52294308	52294219	-	miRNA	ENSG00000207926
ENSG00000296738	chr3	52302779	52309446	+	lncRNA	ENSG00000296738
DNAH1	chr3	52316319	52400492	+	protein_coding	ENSG00000114841
PPP2R5CP	chr3	52373652	52374882	+	processed_pseudogene	ENSG00000239557
BAP1	chr3	52410008	52401008	-	protein_coding	ENSG00000163930
PHF7	chr3	52410660	52423641	+	protein_coding	ENSG00000010318
ENSG00000308410	chr3	52429228	52426422	-	lncRNA	ENSG00000308410
SEMA3G	chr3	52445103	52433035	-	protein_coding	ENSG00000010319
TNNC1	chr3	52454041	52451100	-	protein_coding	ENSG00000114854
NISCH	chr3	52455118	52493068	+	protein_coding	ENSG00000010322
STAB1	chr3	52495338	52524495	+	protein_coding	ENSG00000010327
NT5DC2	chr3	52535054	52524385	-	protein_coding	ENSG00000168268
UQCC5	chr3	52534013	52579237	+	protein_coding	ENSG00000168273
PBRM1	chr3	52685917	52545352	-	protein_coding	ENSG00000163939
RNU6-856P	chr3	52551943	52551846	-	snRNA	ENSG00000252768
RNU6ATAC16P	chr3	52560570	52560707	+	snRNA	ENSG00000221518
GNL3	chr3	52681156	52694497	+	protein_coding	ENSG00000163938
ENSG00000280904	chr3	52688882	52688961	+	snoRNA	ENSG00000280904
ENSG00000252787	chr3	52688890	52688962	+	snoRNA	ENSG00000252787
SNORD19	chr3	52689248	52689315	+	snoRNA	ENSG00000212493
SNORD19B	chr3	52690744	52690827	+	snoRNA	ENSG00000238862
SNORD19C	chr3	52691378	52691453	+	snoRNA	ENSG00000222345
SNORD69	chr3	52692736	52692812	+	snoRNA	ENSG00000212452
GLT8D1	chr3	52706032	52694486	-	protein_coding	ENSG00000016864
SPCS1	chr3	52704955	52711148	+	protein_coding	ENSG00000114902
NEK4	chr3	52770946	52708444	-	protein_coding	ENSG00000114904
